julkaisu_pvm;tuotenimi;malli;tekniset_arvot;tuote_paaryhma_nimi;nimike;viivakoodi;vaaranlaji;tapaus_tulos;tapausnumero;tapauksen_kuvat;muut_tiedot;vastuutaho;asiakirjat;puutteet;paatos
10.06.2016;LIGHTECH;LED 25 CV 12V EMDS (muuntaja);DS-24W, 220-240V, 50/60Hz, class II/III, IP20;Valaisimet ja valaisintarvikkeet;Valonauha, LED;6430025681108;Sähköisku;Markkinoilta poisto;YNS-20160127-03;http://marek.tukes.fi/Tuote.aspx?kuvaid=29134,http://marek.tukes.fi/Tuote.aspx?kuvaid=29130,http://marek.tukes.fi/Tuote.aspx?kuvaid=29131,http://marek.tukes.fi/Tuote.aspx?kuvaid=29135,http://marek.tukes.fi/Tuote.aspx?kuvaid=29129;Määräyksellä poistaa tuote markkinoilta maahantuoja on velvoitettu lopettamaan tuotteen myynnin ja muun luovuttamisen sekä keräämään sen pois myynnistä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;SAAS-Instrumentti Oy Ab ,Maahantuoja,Henry Fordin katu 5B,00150,HELSINKI;;Valonauhan liitäntälaite ei sovellu käytettäväksi itsenäisenä liitäntälaitteena.;Tukesin päätöksellä tuote on määrätty poistettavaksi markkinoilta.
10.06.2016;Car Jump Starter;BHA-008 / AW018WR-1500100V V (latauslaite);Input: 100-240V. Output:15VDC;Ei määritelty;Apukäynnistin;6438151011820;Sähköisku;Myyntikielto;YNS-20160202-02;http://marek.tukes.fi/Tuote.aspx?kuvaid=29321,http://marek.tukes.fi/Tuote.aspx?kuvaid=29318,http://marek.tukes.fi/Tuote.aspx?kuvaid=29319,http://marek.tukes.fi/Tuote.aspx?kuvaid=29320;Myyntikieltopäätöksellä maahantuoja on määrätty lopettamaan tuotteen myynnin ja muun luovuttamisen eli uudet toimitukset jälleenmyyjille. Koska tuotteesta ei aiheudu välitöntä vaaraa hengelle, terveydelle tai omaisuudelle, maahantuojaa ei ole velvoitettu keräämään tätä tuotetta pois jälleenmyyjiltä tai loppukäyttäjiltä. Kuluttaja voi kuitenkin kuluttajasuojalain mukaan palauttaa tuotteen virheellisenä (turvallisuusvaatimusten vastaisena) ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voi tehdä, on myyjällä oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Udda Finland Oy Ltd ,Maahantuoja,Vasarakatu 4,15700,LAHTI;;Liitäntälaitteen (muuntajan) ensiö- ja toisiopiirien välinen eristys ei täytä standardissa EN 60335-1 annettuja vaatimuksia.;Tukesin päätöksellä tuotteelle on asetettu myyntikielto.
10.06.2016;Zodiak Power LED;S204b-PIR;50W, IP44;Valaisimet ja valaisintarvikkeet;Valonheitin, LED;6438168092775;Sähköisku;Markkinoilta poisto;JAT-20160225-01;http://marek.tukes.fi/Tuote.aspx?kuvaid=29482,http://marek.tukes.fi/Tuote.aspx?kuvaid=29477,http://marek.tukes.fi/Tuote.aspx?kuvaid=29480;Määräyksellä poistaa tuote markkinoilta maahantuoja on velvoitettu lopettamaan tuotteen myynnin ja muun luovuttamisen sekä keräämään sen pois myynnistä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Scandic Trading House Oy Ltd ,Maahantuoja,Yrittäjänkaari 7,30420,FORSSA;;Valonheitin ei täytä kotelointiluokan IP44 vaatimuksia.;Tukesin päätöksellä tuote on määrätty poistettavaksi markkinoilta.
14.06.2016;Solar Lantern;243840 (latauslaite: TD-001);latauslaite: input: 110-280V, output: 9VDC;Valaisimet ja valaisintarvikkeet;Valaisin, leiri;7340068927547;Sähköisku,Palo;Palautusmenettely;JAT-20151217-01;http://marek.tukes.fi/Tuote.aspx?kuvaid=29496,http://marek.tukes.fi/Tuote.aspx?kuvaid=29490,http://marek.tukes.fi/Tuote.aspx?kuvaid=29491,http://marek.tukes.fi/Tuote.aspx?kuvaid=29503;Poista tuote välittömästi käytöstä. Palautusmenettelyn mukaisella päätöksellä maahantuoja on velvoitettu lopettamaan tuotteen myynnin ja muun luovuttamisen sekä keräämään sen pois myynnistä ja myös loppukäyttäjiltä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Sunwind Gylling Oy ,Maahantuoja,Niemeläntie 4,20780,KAARINA;;Valaisimen latauslaitteen (230V/9V) ensiö- ja toisiopiirien välinen eristys ei täytä standardin EN 60598 mukaisia pinta- ja jännitelujuusvaatimuksia.;Tukesin tekemä palautusmenettelyä koskeva päätös.
14.06.2016;Suomen voimistelutuote;Voimistelurenkaat;;Tavara;Voimisteluväline;;Muut ulkoiset vammat;Palautusmenettely;PEV-20160509-01;http://marek.tukes.fi/Tuote.aspx?kuvaid=30078;Tarkasta tuotteen hihnojen kunto. Varmista myös, ettei kattokoukussa ole valuvikaa / karheumaa. Jos havaitset hihnoissa rispaantumista tai kulumaa tai jos kattokoukussa on valuvika / karheumaa, lopeta tuotteen käyttö välittömästi!  Kuluttajansuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Kuluttajansuojalaissa muutoksineen on tarkemmin kerrottu menettelystä.;Suomen Voimistelutuote ,Nettikauppias,Koiranojanrinne 6 C Lempäälä,,;;Valuvika / karheuma tuotteen mukana toimitetussa kattokoukussa voi aiheuttaa hihnan katkeamisen.;Toiminnanharjoittaja on vapaaehtoisesti ryhtynyt korjaaviin toimenpiteisiin.
29.06.2016;Salomon´s Smoker King;SS-1100, ArtNo. 31010;230V, 50Hz~, 1100W, class I, IPX4;Kotitalouslaitteet;Savustin;6438168066899;Sähköisku;Markkinoilta poisto;YNS-20160405-04;http://marek.tukes.fi/Tuote.aspx?kuvaid=29640,http://marek.tukes.fi/Tuote.aspx?kuvaid=29637,http://marek.tukes.fi/Tuote.aspx?kuvaid=29639,http://marek.tukes.fi/Tuote.aspx?kuvaid=29373;Määräyksellä poistaa tuote markkinoilta maahantuoja on velvoitettu lopettamaan tuotteen myynnin ja muun luovuttamisen sekä keräämään sen pois myynnistä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa. Tuotteen korjatun version tunnistaa seuraavasta EAN-koodista: 6438168094779.;Scandic Trading House Oy Ltd ,Maahantuoja,Yrittäjänkaari 7,30420,FORSSA;;Liitäntäjohdon vaipan murtuma vastuselementin kahvan läheisyydessä.;Tukesin päätöksellä tuote on määrätty poistettavaksi markkinoilta. Päätös ei koske korjattua versiota.
29.06.2016;Grillilinja;5493 (PO 4515);230V, 50Hz~, 1100W, class I, IPX4;Kotitalouslaitteet;Savustin;6 430050 626839;Sähköisku;Markkinoilta poisto;JAT-20160408-02;http://marek.tukes.fi/Tuote.aspx?kuvaid=29644,http://marek.tukes.fi/Tuote.aspx?kuvaid=29641,http://marek.tukes.fi/Tuote.aspx?kuvaid=29643,http://marek.tukes.fi/Tuote.aspx?kuvaid=29642;Määräyksellä poistaa tuote markkinoilta maahantuoja on velvoitettu lopettamaan tuotteen myynnin ja muun luovuttamisen sekä keräämään sen pois myynnistä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Blue Import BIM Oy ,Maahantuoja,Hampuntie 12-14,36220,KANGASALA;;Liitäntäjohdon vaipan murtuma lämmityselementin kahvan läheisyydessä.;Tukesin päätöksellä tuote on määrätty poistettavaksi markkinoilta. HUOM! Päätös koskee vain erää PO4515.
29.06.2016;Snow Fox NSK-10723;HS085-1200;Input: 100-240 VAC, 50/60 Hz, class II. Output: 8.5 VDC, 600 mA x 2;Ei määritelty;Lämmitettävät Hanskat;6420071080482;Palo,Sähköisku;Palautusmenettely;YNS-20160202-04;http://marek.tukes.fi/Tuote.aspx?kuvaid=29619,http://marek.tukes.fi/Tuote.aspx?kuvaid=29618,http://marek.tukes.fi/Tuote.aspx?kuvaid=29620;Poista tuote välittömästi käytöstä. Palautusmenettelyn mukaisella päätöksellä maahantuoja on velvoitettu lopettamaan tuotteen myynnin ja muun luovuttamisen sekä keräämään sen pois myynnistä ja myös loppukäyttäjiltä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;N.S.F. Nordic Sports Finland Oy ,Ilmoittaja,Kaupinkatu 16,45130,KOUVOLA;;Tuotteen laturin eristys on puutteellinen ja sen palonkestovaatimus ei täyty.;Tukesin tekemä palautusmenettelyä koskeva päätös.
29.06.2016;dacota;DPAL220V1A14;Input: 100-240V 50/60Hz 0,2A, Class II. Output: 5VDC 1000mA;Viihde-elektroniikka;Latauslaite, Iphone;4897053873202;Sähköisku;Myyntikielto;JAT-20160215-01;http://marek.tukes.fi/Tuote.aspx?kuvaid=29184,http://marek.tukes.fi/Tuote.aspx?kuvaid=29182,http://marek.tukes.fi/Tuote.aspx?kuvaid=29183;Myyntikieltopäätöksellä maahantuoja on määrätty lopettamaan tuotteen myynnin ja muun luovuttamisen eli uudet toimitukset jälleenmyyjille. Koska tuotteesta ei aiheudu välitöntä vaaraa hengelle, terveydelle tai omaisuudelle, maahantuojaa ei ole velvoitettu keräämään tätä tuotetta pois jälleenmyyjiltä tai loppukäyttäjiltä. Kuluttaja voi kuitenkin kuluttajasuojalain mukaan palauttaa tuotteen virheellisenä (turvallisuusvaatimusten vastaisena) ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voi tehdä, on myyjällä oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Power Finland Oy ,Maahantuoja,Sammonkatu 75,33540,TAMPERE;;Tuotteen eristyksessä puutteita.;Tukesin päätöksellä tuotteelle on asetettu myyntikielto.
29.06.2016;MaistoTech Rock Crawler;81157 (latauslaite: WAT-CH06W072070G);(Latauslaite) Class II, IPX0 Input : 100-240V~, 50/60Hz, 0.4A. Output : 7.2VDC, 0.7A, 5.1W;Lelut, vapaa-aika, urheilu;Kauko-ohjattava lelu;090159811572;Sähköisku;Myyntikielto;JAT-20151125-01;http://marek.tukes.fi/Tuote.aspx?kuvaid=29275,http://marek.tukes.fi/Tuote.aspx?kuvaid=29273,http://marek.tukes.fi/Tuote.aspx?kuvaid=29274;Myyntikieltopäätöksellä maahantuoja on määrätty lopettamaan tuotteen myynnin ja muun luovuttamisen eli uudet toimitukset jälleenmyyjille. Koska tuotteesta ei aiheudu välitöntä vaaraa hengelle, terveydelle tai omaisuudelle, maahantuojaa ei ole velvoitettu keräämään tätä tuotetta pois jälleenmyyjiltä tai loppukäyttäjiltä. Kuluttaja voi kuitenkin kuluttajasuojalain mukaan palauttaa tuotteen virheellisenä (turvallisuusvaatimusten vastaisena) ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voi tehdä, on myyjällä oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Norstar Oy ,Maahantuoja,Suomalaistentie 7,02270,ESPOO;;Laturin eristyksessä on puutteita.;Tukesin päätöksellä tuotteelle on asetettu myyntikielto.
29.06.2016;Livarno LUX / SB (muuntaja);HG00142 / SBA-RCRGB120518 (muuntaja);4 x DS-0,5W, 220-240V, 50 Hz, class II / class III, IP20;Valaisimet ja valaisintarvikkeet;Hyllyvalaisin LED;4304493941762;Sähköisku;Myyntikielto;YNS-20160219-01;http://marek.tukes.fi/Tuote.aspx?kuvaid=29489,http://marek.tukes.fi/Tuote.aspx?kuvaid=29485,http://marek.tukes.fi/Tuote.aspx?kuvaid=29486,http://marek.tukes.fi/Tuote.aspx?kuvaid=29487,http://marek.tukes.fi/Tuote.aspx?kuvaid=29488;Myyntikieltopäätöksellä maahantuoja on määrätty lopettamaan tuotteen myynnin ja muun luovuttamisen eli uudet toimitukset jälleenmyyjille. Koska tuotteesta ei aiheudu välitöntä vaaraa hengelle, terveydelle tai omaisuudelle, maahantuojaa ei ole velvoitettu keräämään tätä tuotetta pois jälleenmyyjiltä tai loppukäyttäjiltä. Kuluttaja voi kuitenkin kuluttajasuojalain mukaan palauttaa tuotteen virheellisenä (turvallisuusvaatimusten vastaisena) ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voi tehdä, on myyjällä oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Lidl Suomi Ky ,Maahantuoja,Vanha Kaarelantie 33A,01610,VANTAA;;Tuotteen liitäntälaitteen eristyksessä on puute.;Tukesin päätöksellä tuotteelle on asetettu myyntikielto.
